School Unit Name,Elementary School Cases,Middle School Cases,High School Cases,Gender,Reporting Date
COLEGIUL NATIONAL "IANCU DE HUNEDOARA",98,34,24,M,18/02/21
COLEGIUL NATIONAL "DECEBAL",20,49,32,F,18/02/22
LICEUL TEORETIC "TRAIAN LALESCU",60,23,32,F,07/12/20
COLEGIUL NATIONAL "AUREL VLAICU",7,74,25,M,27/02/21
LICEUL DE ARTE "SIGISMUND TODUTA",13,50,4,F,18/10/20
COLEGIUL ECONOMIC "EMANUIL GOJDU",08,28,97,M,31/12/21
COLEGIUL NATIONAL "MIHAI EMINESCU",29,24,94,M,08/07/22
COLEGIUL NATIONAL "DECEBAL",49,88,34,M,08/12/20
COLEGIUL NATIONAL "MIHAI EMINESCU",93,null,1,M,03/03/22
LICEUL DE ARTE "SIGISMUND TODUTA",null,20,19,M,26/11/20
LICEUL TEORETIC "TRAIAN LALESCU",17,04,25,M,16/10/20
COLEGIUL NATIONAL "MIHAI EMINESCU",67,19,12,M,10/09/21
COLEGIUL NATIONAL "AUREL VLAICU",76,27,84,F,21/02/21
COLEGIUL ECONOMIC "EMANUIL GOJDU",46,91,56,M,14/12/21
COLEGIUL NATIONAL "DECEBAL",53,95,45,M,19/05/21
LICEUL DE ARTE "SIGISMUND TODUTA",72,70,99,F,02/03/22
COLEGIUL NATIONAL "IANCU DE HUNEDOARA",37,38,92,M,01/01/21
LICEUL TEORETIC "TRAIAN LALESCU",86,74,null,M,22/04/22
SCOALA SUPERIOARA COMERCIALA "NICOLAE KRETZULESCU",16,90,86,M,19/07/21
